"Datum zahájení";"Město";"Název";"Odběratel";"Ulice";"Číslo faktury";"Jazyk";"GPS";"Poznámka";"Ozvučení";"Čas příjezdu (na akci)";"Čas odjezdu (na akci)";"Příprava";"Smlouva";"Web";"Kontaktní osoby";"Země";"Kraj";"Způsob dopravy"
"20.8.2020";"České Budějovice";"České Vrbné 20.8.2020";""bez dokladu"";"České Vrbné - U dětského hřiště";"A-bez.005/2020";"Čeština";"49.014459,14.452060";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"22.8.2020";"Vimperk";"Vimperk 22.8.2020";"Městské kulturní středisko Vimperk";"Letní kino";"P-př.010/2020";"Čeština";"49.056828,13.772623";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"27.8.2020";"České Budějovice";"České Budějovice 27.8.2020";""bez dokladu"";"České Vrbné - U dětského hřiště";"A-bez.005/2020";"Čeština";"49.014459,14.452060";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"29.8.2020";"Dobřichovice";"Dobříchovice 29.8.2020";"Město Dobřichovice";"Pod mostem Palackého";"P-př.011/2020";"Čeština";"49.926043,14.275275";"";"";"";"";"0 min";"";"";"";"Česká republika";"Středočeský";"Iveco"
"29.8.2020";"Humpolec";"Humpolec 29.8.2020";"Platforma Humpolec, z.s.";"Stromovka";"P-př.012/2020";"Čeština";"49.543187,15.357592";"";"";"";"";"0 min";"";"";"";"Česká republika";"Východočeský";"Iveco"
"29.8.2020";"České Budějovice";"České Budějovice 29.8.2020";"Prostor pro všechny z. s.";"Česká";"A-př.012/2020";"Čeština";"48.974801,14.472362";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"29.8.2020";"České Budějovice";"České Budějovice 29.8.2020";"Prostor pro všechny z. s.";"Náměstí";"P-př.013/2020";"Čeština";"48.974537,14.473643";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"30.8.2020";"Vlachovo Březí";"Vlachovo Březí 30.8.2020";""bez dokladu"";"Sokolovna";"P-bez.001/2020";"Čeština";"49.084917,13.961450";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"29.8.2020";"České Budějovice";"České Budějovice 29.8.2020";"Prostor pro všechny z. s.";"Česká";"A-př.012/2020";"Čeština";"48.974801,14.472362";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"29.8.2020";"České Budějovice";"České Budějovice 29.8.2020";"Prostor pro všechny z. s.";"Náměstí";"P-př.013/2020";"Čeština";"48.974537,14.473643";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"3.9.2020";"České Budějovice";"České Budějovice - 3.9.2020";""Vlastní náklady"";"České Vrbné - U dětského hřiště";"A-bez.006/2020";"Čeština";"49.014459,14.452060";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"3.9.2020";"České Budějovice";"České Budějovice 3.9.2020";"Budějovický Manifest, z.s.";"Plachého";"P-př.014/2020";"Čeština";"48.973963,14.470106";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"4.9.2020";"Pardubice";"Pardubice 4.9.2020";"Czech marketing, s.r.o.";"Atrium Palác Pardubice - Masarykovo nám. 2799";"A-př.013/2020";"Čeština";"50.037680,15.767811";"";"";"";"";"0 min";"";"";"";"Česká republika";"Východočeský";"Iveco"
"5.9.2020";"Zehuby";"Zehuby 5.9.2020";"VesSpolek, z.s.";"Zehuby 6 - požární zbrojnice";"A-př.014/2020";"Čeština";"49.869905,15.482952";"";"";"";"";"0 min";"";"";"";"Česká republika";"Východočeský";"Iveco"
"5.9.2020";"Písek";"Písek 5.9.2020";"Loutkový spolek Nitka";"Šapito - Bakaláře 43";"P-hot.003/2020";"Čeština";"49.306354,14.149377";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"10.9.2020";"České Budějovice";"České Budějovice 10.9.2020";""bez dokladu"";"České Vrbné - U dětského hřiště";"A-bez.007/2020";"Čeština";"49.014459,14.452060";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"12.9.2020";"Pardubice";"Pardubice 12.9.2020";"Czech marketing, s.r.o.";"Dostihové závodiště";"P-př.015/2020";"Čeština";"50.019245,15.748571";"";"";"";"";"0 min";"";"";"";"Česká republika";"Východočeský";"Iveco"
"12.9.2020";"Tábor";"Tábor 12.9.2020";"Město Tábor";"nám. Mikuláše z Husi";"P-př.014/2020";"Čeština";"49.414060,14.655764";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"12.9.2020";"Polná";"Polná 12.9.2020";"Ladislav Pártl";"Měšťanský pivovar";"P-př.016/2020";"Čeština";"49.486014,15.719497";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"12.9.2020";"Rakovník";"Rakovník 12.9.2020";"Zimmermann Milan";"Rakovník Boženy Němcové 935";"A-hot.002/2020";"Čeština";"50.097588,13.731772";"";"";"";"";"0 min";"";"";"";"Česká republika";"Středočeský";"Iveco"
"17.9.2020";"České Budějovice";"České Budějovice 17.9.2020";""bez dokladu"";"České Vrbné - U dětského hřiště";"A-bez.008/2020";"Čeština";"49.014459,14.452060";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"19.9.2020";"Praha ";"Praha 19.9.2020";"Dům dětí a mládeže Praha 5";"Poštovka Praha 5, Zahradníčkova 1118/2";"A-př.015/2020";"Čeština";"50.069124,14.355150";"";"";"";"";"0 min";"";"";"";"Česká republika";"Středočeský";"Iveco"
"19.9.2020";"Trocnov";"Trocnov 19.9.2020";"Jihočeské muzeum v Českých Budějovicích";"Podium pod lesovnou vedle muzejní budovy";"P-př.018/2020";"Čeština";"48.891722,14.606366";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"19.9.2020";"Nové Hrady";"Nové Hrady 19.9.2020";"Město Nové Hrady";"Hotel Máj";"P-př.017/2020";"Čeština";"48.790077,14.783609";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"20.9.2020";"Chotěmice";"Chotěmice 20.9.2020";"Obec Chotěmice";"U Kaple";"P-př.019/2020";"Čeština";"49.275225,14.875690";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"3.10.2020";"Loket";"Loket 3.10.2020";"Spolek Deepam";"Malá scéna vedle amfiteátru";"A-př.016/2020";"Čeština";"50.188432,12.753793";"";"";"";"";"0 min";"";"";"";"Česká republika";"Západočeský";"Iveco"
"28.10.2020";"Jihlava";"Jihlava - 28.10.2020";"DOC.DREAM services s.r.o.";"Kino Dukla";"P-př.020/2020";"Čeština";"49.397470,15.585782";"";"";"";"";"0 min";"";"";"";"Česká republika";"Východočeský";"Iveco"
"2.12.2017";"České Budějovice";"České Budějovice 2.12.2017";"Art4prmotion, s.r.o.";"Náměstí";"P-hot.03/2017";"Čeština";"48.839545,14.455651";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"8.12.2020";"Praha ";"Praha 8.12.2020";"Základní škola Zahrádka, Praha 3, U Zásobní zahrady 8";"U Zásobní zahrady 8";"P-př.021/2020";"Čeština";"50.086810,14.467081";"Vánoční příběh - kompilát vnočky a Zvěstování";"";"";"";"0 min";"";"";"";"Česká republika";"Středočeský";"Iveco"
"12.12.2020";"Veselí nad Moravou";"Veselí nad Moravou 12.12.2020";"Veselské kulturní centrum, z.ú.";"Náměstí Míru";"P-př.022/2020";"Čeština";"48.951390,17.384146";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihomoravský";"Iveco"
"16.2.2010";"Praha ";"Praha 16.2.2010";"Schody k nezávislosti, z.s.";"Slinková 1029/5 Radotín";"A-hot.01/2010";"Čeština";"49.985606,14.356604";"";"";"";"";"0 min";"";"";"";"Česká republika";"Středočeský";"Iveco"
"4.12.2010";"Písek";"Písek 4.12.2010";"STŘEDOVĚKÉ KRČMY, s.r.o.";"Hradišťská";"A-hot.17/2010";"Čeština";"49.303989,14.143566";"Mikuláš.čert,anděl";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"27.11.2010";"Nové Hrady";"Nové Hrady 27.11.2010";"Diecézní centrum pro rodinu";"Navrátilova";"A-hot.19/2010";"Čeština";"48.789614,14.779987";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"6.11.2010";"Praha ";"Uhřiněves 6.11.2010";"Občanské sdružení Uhříněves";"Uhřiněves - Husovo nám. 40";"A-hot.16/2010";"Čeština";"50.035496,14.592467";"";"";"";"";"0 min";"";"";"";"Česká republika";"Středočeský";"Iveco"
"24.10.2010";"Český Šternberk";"Český Šternberg 24.10.2010";"Zdeněk Sternberg";"Český Šternberg 1";"A-př.18/2010";"Čeština";"49.809137,14.926181";"";"";"";"";"0 min";"";"";"";"Česká republika";"Středočeský";"Iveco"
"12.10.2010";"Praha ";"Praha 12.10.2010";"Agentura Perudan s.r.o.";"Praha 11";"A-př.17/2010";"Čeština";"";"3x";"";"";"";"0 min";"";"";"";"Česká republika";"Středočeský";"Iveco"
"13.10.2010";"Praha ";"Praha 13.10.2010";"Agentura Perudan s.r.o.";"Praha 11";"A-př.17/2010";"Čeština";"";"";"";"";"";"0 min";"";"";"";"Česká republika";"Středočeský";"Iveco"
"14.10.2010";"Praha ";"Praha 14.10.2010";"Agentura Perudan s.r.o.";"Praha 11";"A-př.17/2010";"Čeština";"";"";"";"";"";"0 min";"";"";"";"Česká republika";"Středočeský";"Iveco"
"29.10.2010";"Lipno nad Vltavou ";"Lipno 29.10.2010";"Amenity Resorts s.r.o.";"Lipno Point";"A-hot.17/2010A";"Čeština";"48.636143,14.206302";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"25.9.2010";"Jindřichův Hradec";"Jindřichův Hradec 25.9.2010";"Občanská demokratická strana";"centrum";"A-př.16/2010";"Čeština";"49.143808,15.003091";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"11.9.2010";"Karlovy Vary";"Karlovy Vary 11.9.2010";"Galerie umění Karlovy Vary, příspěvková organizace Karlovarského kraje";"Goethova stezka 6";"A-př.15/2010";"Čeština";"50.217231,12.887177";"";"";"";"";"0 min";"";"";"";"Česká republika";"Západočeský";"Iveco"
"11.9.2010";"Kladno";"Kladno 11.9.2010";"ART ZÓNA";"Třída TGM";"A-př.14/2010";"Čeština";"50.145607,14.100120";"";"";"";"";"0 min";"";"";"";"Česká republika";"Středočeský";"Iveco"
"19.9.2010";"Kostelec nad Černými Lesy";"Kostelc nad Černými Lesy 19.9.2010";"RC Kolečko, o.s.";"Náměstí";"A-hot.15/2010";"Čeština";"49.994609,14.860271";"";"";"";"";"0 min";"";"";"";"Česká republika";"Středočeský";"Iveco"
"18.9.2010";"Praha ";"Praha 18.9.2010";"KULTURNÍ JIŽNÍ MĚSTO o.p.s.";"Chodovská tvrz";"A-hot.14/2010";"Čeština";"50.034871,14.498880";"";"";"";"";"0 min";"";"";"";"Česká republika";"Středočeský";"Iveco"
"3.9.2010";"Příbraz";"Příbraz 3.9.2010";"Příbrazský Plaváček z.s.";"Penzion Příbrazský";"A-hot.13/2010";"Čeština";"49.050218,14.937679";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"20.8.2010";"Boskovice";"Boskovice 20.8.2010";"Luboš Sobotka";"Zámek";"A-př.13/2010";"Čeština";"49.484885,16.659535";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihomoravský";"Iveco"
"27.8.2010";"Rychnov nad Kněžnou";"Rychnov nad Kněžnou 27-28.8.2010";"Kultura Rychnov nad Kněžnou, s.r.o.";"Náměstí";"A-hot.12/2010";"Čeština";"50.165097,16.276332";"";"";"";"";"0 min";"";"";"";"Česká republika";"Východočeský";"Iveco"
"21.8.2010";"Ostrá";"Ostrá 21.8.2010";"Botanicus, spol. s r.o.";"Botanicus";"A-hot.11/2010";"Čeština";"50.180454,14.895002";"2x";"";"";"";"0 min";"";"";"";"Česká republika";"Středočeský";"Iveco"
"21.8.2010";"Ostrá";"Ostrá 21.8.2010";"Botanicus, spol. s r.o.";"Botanicus";"A-hot.11/2010";"Čeština";"50.180454,14.895002";"";"";"";"";"0 min";"";"";"";"Česká republika";"Středočeský";"Iveco"
"20.7.2010";"Mariánské Lázně";"Mariánská Lázně 20-21.7.2010";"Divadlo Kapsa";"galerie Schopén";"A-př.12/2010";"Čeština";"49.975314,12.703282";"";"";"";"";"0 min";"";"";"";"Česká republika";"Západočeský";"Iveco"
"24.7.2010";"Ostrá";"Ostrá 24.7.2010";"Botanicus, spol. s r.o.";"Botanicus";"A-hot.10/2010";"Čeština";"50.180451,14.894933";"";"";"";"";"0 min";"";"";"";"Česká republika";"Středočeský";"Iveco"
"24.7.2010";"Ostrá";"Ostrá 24.7.2010";"ZDVOJENO";"Botanicus";"ZDVOJENO";"Čeština";"50.180451,14.894933";"";"";"";"";"0 min";"";"";"";"Česká republika";"Středočeský";"Iveco"
"14.7.2010";"Nákří";"Nákří 14.7.2010";"Obec Nákří";"Náves";"A-hot.09/2010";"Čeština";"49.118623,14.328939";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"10.7.2010";"Choustník";"Choustník 10.7.2010";"Šermířská a divadelní společnost Zikmunda Wintera";"Hrad";"A-hot.08/2010";"Čeština";"49.331065,14.852877";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"26.6.2010";"Pecínov";"Pecínov 26.6.2010";"AISIS, z.ú.";"Jízdárna";"A-př.14/2010A";"Čeština";"49.749708,14.734540";"";"";"";"";"0 min";"";"";"";"Česká republika";"Severočeský";"Iveco"
"27.6.2010";"Kadaň";"Kadaň 27.6.2010";"Luboš Sobotka";"Klášter";"A-př.13/2010A";"Čeština";"50.378794,13.256856";"";"";"";"";"0 min";"";"";"";"Česká republika";"Západočeský";"Iveco"
"26.6.2010";"Brandýs nad Labem";"Brandýs nad Labem 26.6.2010";"Město Brandýs nad Labem";"Labská promenáda";"A-př.12/2010A";"Čeština";"50.186140,14.670277";"";"";"";"";"0 min";"";"";"";"Česká republika";"Středočeský";"Iveco"
"25.6.2010";"Olomouc";"Olomouc 25.6.2010";"Statutární město Olomouc";"Horní náměstí";"A-př.11/2010";"Čeština";"49.593924,17.250963";"";"";"";"";"0 min";"";"";"";"Česká republika";"Severomoravský";"Iveco"
"6.6.2010";"Popovice";"Popovice 6.6.2010";"Obec Popovice";"Hřiště";"A-př.09/2010";"Čeština";"49.694816,14.749096";"";"";"";"";"0 min";"";"";"";"Česká republika";"Středočeský";"Iveco"
"3.6.2010";"Praha ";"Praha 3.6.2010";"MC Domeček YMCA Praha";"Náměstí Republiky";"A-př.08/2010";"Čeština";"50.088175,14.428590";"";"";"";"";"0 min";"";"";"";"Česká republika";"Středočeský";"Iveco"
"4.6.2010";"Praha ";"Praha 4.6.2010";"MMC Praha s.r.o.";"OC Šestka";"A-př.07/2010";"Čeština";"50.093485,14.291914";"";"";"";"";"0 min";"";"";"";"Česká republika";"Středočeský";"Iveco"
"1.6.2010";"Praha ";"Praha 1.6.2010";"Kristián, spol. s r.o.";"Stromovka Praha 7";"A-př.06/2010";"Čeština";"50.104931,14.409678";"";"";"";"";"0 min";"";"";"";"Česká republika";"Středočeský";"Iveco"
"25.5.2010";"Praha ";"Praha 25.5.2010";"Art4prmotion, s.r.o.";"Vodárenské muzeum";"A-př.04/2010";"Čeština";"50.057341,14.420684";"Postavy-šílený Max";"";"";"";"0 min";"";"";"";"Česká republika";"Středočeský";"Iveco"
"20.5.2010";"Hluboká nad Vltavou";"Hluboká nad Vltavou 20.5.2010";"Art4prmotion, s.r.o.";"Zámek";"A-př.03/2010";"Čeština";"49.051684,14.440859";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"24.4.2010";"Strakonice";"Strakonice 24.4.2010";"Art4prmotion, s.r.o.";"neznámé";"A-př.02/2010";"Čeština";"";"Komediant";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"7.5.2010";"Blatná";"Blatná 7.5.2010";"Art4prmotion, s.r.o.";"neznámé";"A-př.02/2010";"Čeština";"";"Komediant";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"8.5.2010";"Jindřichův Hradec";"Jindřichův Hradec 8.5.2010";"Art4prmotion, s.r.o.";"neznámé";"A-př.02/2010";"Čeština";"";"komediant";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"9.5.2010";"Milevsko";"Milevsko 9.5.2010";"Art4prmotion, s.r.o.";"neznámé";"A-př.02/2010";"Čeština";"";"Komediant";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"22.5.2010";"Prachatice";"Prachatice 22.5.2010";"Art4prmotion, s.r.o.";"neznámé";"A-př.02/2010";"Čeština";"";"Komediant";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"23.5.2010";"Lipno nad Vltavou ";"Lipno nad Vltavou 23.5.2010";"Art4prmotion, s.r.o.";"neznámé";"A-př.02/2010";"Čeština";"";"Komediant";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"30.5.2010";"Český Krumlov";"Český Krumlov 30.5.2010";"Art4prmotion, s.r.o.";"neznámé";"A-př.02/2010";"Čeština";"";"Komediant";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"1.6.2010";"Chřibská";"Chřibská 1.6.2010";"Základní škola a mateřská škola Tadeáše Haenkeho Chřibská, příspěvková organizace";"Zš";"A-hot.05/2010A";"Čeština";"50.860849,14.481320";"";"";"";"";"0 min";"";"";"";"Česká republika";"Severočeský";"Iveco"
"5.6.2010";"Červená Lhota";"Červená Lhota 5.6.2010";"Václav Koubek";"Exteriérové divadlo";"A-hot.05/2010";"Čeština";"49.247952,14.884435";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"5.6.2010";"Červená Lhota";"Červená Lhota 5.6.2010";"ZDVOJENO";"exteriérové divadlo";"ZDVOJENO";"Čeština";"49.247952,14.884435";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"12.6.2010";"Opava";"Opava 12.6.2010";"Středisko volného času, Opava, příspěvková organizace";"Horní náměstí";"A-hot.06/2010";"Čeština";"49.939056,17.901862";"";"";"";"";"0 min";"";"";"";"Česká republika";"Severomoravský";"Iveco"
"13.6.2010";"Hradec nad Moravicí";"Hradec nad Moravicí 13.6.2010";"Středisko volného času, Opava, příspěvková organizace";"Park pod hradem+Hotel Belaria";"A-hot.06/2010";"Čeština";"49.863726,17.867472";"";"";"";"";"0 min";"";"";"";"Česká republika";"Severomoravský";"Iveco"
"19.6.2010";"Ostrá";"Ostrá 19.6.2010";"Botanicus, spol. s r.o.";"Botanicus";"A-hot.07/2010";"Čeština";"50.180459,14.894936";"";"";"";"";"0 min";"";"";"";"Česká republika";"Středočeský";"Iveco"
"19.6.2010";"Ostrá";"Ostrá 19.6.2010";"ZDVOJENO";"Botanicus";"ZDVOJENO";"Čeština";"50.180459,14.894936";"";"";"";"";"0 min";"";"";"";"Česká republika";"Středočeský";"Iveco"
"19.6.2010";"Ostrá";"Ostrá 19.6.2010";"ZDVOJENO";"Botanicus";"ZDVOJENO";"Čeština";"50.180459,14.894936";"";"";"";"";"0 min";"";"";"";"Česká republika";"Středočeský";"Iveco"
"24.6.2010";"Praha ";"Praha 24.6.2010";"Základní škola Zahrádka, Praha 3, U Zásobní zahrady 8";"Zš Zahrádka";"A-hot.09/2010A";"Čeština";"50.086720,14.466868";"3x Kubovy hry";"";"";"";"0 min";"";"";"";"Česká republika";"Středočeský";"Iveco"
"26.6.2010";"Čelákovice";"Čelákovice 26.6.2010";"Šindelářová Jana";"neznámé";"A-hot.08/2010A";"Čeština";"";"";"";"";"";"0 min";"";"";"";"Česká republika";"Středočeský";"Iveco"
"29.5.2010";"Strunkovice nad Blanicí";"Strunkovice nad Blanicí 29.5.2010";"TJ Sokol Strunkovice";"KD";"A-hot.04/2010";"Čeština";"49.084191,14.053661";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"21.2.2010";"České Budějovice";"České Budějovice 21.2.2010";"CPI Hotels, a.s.";"Bazilika";"A-hot.03/2010";"Čeština";"48.983726,14.472493";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"16.2.2010";"Praha ";"Praha 16.2.2010";"JEDEN STROM Z.Ú.";"Slinková 1029/5 Radotín";"A-hot.02/2010";"Čeština";"49.986280,14.358583";"";"";"";"";"0 min";"";"";"";"Česká republika";"Středočeský";"Iveco"
"7.12.2010";"Třinec";"Třinec 7.12.2010";"TRISIA, a.s.";"Náměstí svobody";"A-hot.18/2010";"Čeština";"49.668625,18.675555";"";"";"";"";"0 min";"";"";"";"Česká republika";"Severomoravský";"Iveco"
"30.6.2010";"Hluboká nad Vltavou";"Hluboká nad Vlatavou 30.6.2010";"NEZNÁMÝ";"Sokolská";"A-bez.01/2010";"Čeština";"49.050361,14.436925";"drak";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"2.10.2010";"Praha ";"Kolovraty 2.10.2010";"Monika Kučerová";"Va předevsi 10 Kolovraty";"A-bez.02/2010";"Čeština";"50.012086,14.621124";"";"";"";"";"0 min";"";"";"";"Česká republika";"Středočeský";"Iveco"
"18.6.2010";"Andělská hora";"Andělská Hora 18.6.2010";"Divadlo Kapsa";"Kostel Nejsvětější Trojice";"A-přijm.01/2010";"Čeština";"50.200586,12.958398";"";"";"";"";"0 min";"";"";"";"Česká republika";"Západočeský";"Iveco"
"16.7.2010";"Vrané nad Vltavou ";"Vrané nad Vltavou 16.7.2010";"Kateřina Beranová";"Ke statku 561";"A-přijm.02/2010";"Čeština";"49.928623,14.381932";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"19.9.2010";"Dobříš";"Dobříš 19.9.2010";"Římskokatolická farnost Dobříš";"Českobratrská farnost";"A-přijm.03/2010";"Čeština";"49.778353,14.169296";"";"";"";"";"0 min";"";"";"";"Česká republika";"Středočeský";"Iveco"
"20.12.2010";"Hodonín";"Hodonín 20.12.2010";"Luboš Sobotka";"Dům kultury";"P-př.42/2010";"Čeština";"48.850760,17.133022";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihomoravský";"Iveco"
"20.12.2010";"Vimperk";"Vimperk 20.12.2010";"Městské kulturní středisko Vimperk";"Městské kulturní středisko";"P-př.41/2010";"Čeština";"49.055568,13.778881";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"17.12.2010";"Mariánské Lázně";"Mariánské lázně 17.12.2010";"Roman Juřica";"U zpívající kašny";"P-př.40/2010";"Čeština";"49.977783,12.706403";"";"";"";"";"0 min";"";"";"";"Česká republika";"Západočeský";"Iveco"
"14.12.2010";"České Budějovice";"České Budějovice 14.12.2010";"M-ARS CB s.r.o.";"Radnice";"P-př.39/2010";"Čeština";"48.974353,14.472786";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"9.12.2010";"Praha ";"Praha 9.12.2010";"Hamarčák Luboš";"Hlavní 240";"P-př.38/2010";"Čeština";"50.203576,14.463405";"Postavy v krčmě";"";"";"";"0 min";"";"";"";"Česká republika";"Středočeský";"Iveco"
"12.12.2010";"Ostrava";"Ostrava 12.12.2010";"Agripa";"Masarykovo náměstí";"P-př.37/2010";"Čeština";"49.835837,18.293005";"";"";"";"";"0 min";"";"";"";"Česká republika";"Severomoravský";"Iveco"
"5.12.2010";"Proseč pod Ještědem";"Proseč pod Ještědem 5.12.2010";"B P R-Bohemia public relation s.r.o.";"Sokolovna";"P-př.36/2010";"Čeština";"50.693212,15.013947";"";"";"";"";"0 min";"";"";"";"Česká republika";"Severočeský";"Iveco"
"5.12.2010";"Praha ";"Praha 5.12.2010";"Berounští Měšťané s.r.o.";"Lobkovický palác";"P-př.35/2010";"Čeština";"50.091773,14.404873";"Mikuláš,čert,anděl";"";"";"";"0 min";"";"";"";"Česká republika";"Středočeský";"Iveco"
"6.12.2010";"Praha ";"Praha 6.12.2010";"B P R-Bohemia public relation s.r.o.";"Evropská 2591/33d";"P-př.34/2010";"Čeština";"50.098951,14.376493";"Mikuláš,čert,anděl";"";"";"";"0 min";"";"";"";"Česká republika";"Středočeský";"Iveco"
"5.12.2010";"Český Brod";"Český Brod 5.12.2010";"Město Český Brod";"Husovo náměstí";"P-př.33/2010";"Čeština";"50.073597,14.859842";"Postavy čertů,soutěže";"";"";"";"0 min";"";"";"";"Česká republika";"Severočeský";"Iveco"
"19.12.2010";"Žďár nad Sázavou";"Žďár nad Sázavou 19.12.2010";"OSTROV POHODY zapsaný spolek";"Městské divadlo";"P-hot.30/2010";"Čeština";"49.560536,15.940194";"";"";"";"";"0 min";"";"";"";"Česká republika";"Východočeský";"Iveco"
"16.12.2010";"Chřibská";"Chřibská 16.12.2010";"Základní škola a mateřská škola Tadeáše Haenkeho Chřibská, příspěvková organizace";"Zš";"P-hot.28/2010";"Čeština";"50.860563,14.481200";"";"";"";"";"0 min";"";"";"";"Česká republika";"Severočeský";"Iveco"
"14.10.2010";"Praha ";"Praha 14.10.2010";"Hamarčák Luboš";"Toužanská";"P-hot.26/2010";"Čeština";"50.131129,14.554626";"";"";"";"";"0 min";"";"";"";"Česká republika";"Středočeský";"Iveco"
"27.11.2010";"České Budějovice";"České Budějovice 27.11.2010";"CPI Hotels, a.s.";"Solnice";"P-hot.25/2010";"Čeština";"48.974374,14.472243";"";"";"";"";"0 min";"";"";"";"Česká republika";"Jihočeský";"Iveco"
"12.10.2010";"Chrudim";"Chrudim 12.10.2010";"Luboš Sobotka";"Pipichovo divadlo";"P-př.30/2010";"Čeština";"49.950652,15.791708";"";"";"";"";"0 min";"";"";"";"Česká republika";"Východočeský";"Iveco"
"10.10.2010";"Praha ";"Praha 10.10.2010";"Luboš Sobotka";"Bývalá ledárna";"P-př.30/2010";"Čeština";"50.031908,14.406077";"";"";"";"";"0 min";"";"";"";"Česká republika";"Středočeský";"Iveco"
"12.10.2010";"Chrudim";"Chrudim 12.10.2010";"ZDVOJENO";"Divadlo Karla Pipicha";"ZDVOJENO";"Čeština";"49.950652,15.791708";"";"";"";"";"0 min";"";"";"";"Česká republika";"Východočeský";"Iveco"
"19.3.2010";"Škvorec";"Škvorec 19.3.2010";"Základní škola Škvorec";"Sokolovna";"P-hot.01/2010";"Čeština";"50.046542,14.732451";"";"";"";"";"0 min";"";"";"";"Česká republika";"Středočeský";"Iveco"
"5.3.2010";"Choceň";"Choceň 5.3.2010";"Luboš Sobotka";"Sokolovna";"P-př.02/2010";"Čeština";"50.001758,16.224721";"2x";"";"";"";"0 min";"";"";"";"Česká republika";"Východočeský";"Iveco"
"5.3.2010";"Choceň";"Choceň 5.3.2010";"ZDVOJENO";"Sokolovna";"ZDVOJENO";"Čeština";"50.001758,16.224721";"";"";"";"";"0 min";"";"";"";"Česká republika";"Východočeský";"Iveco"
"6.3.2010";"Ústí nad Orlicí";"Ústí nad Orlicí 6.3.2010";"Luboš Sobotka";"Roškovo divadlo";"P-př.02/2010";"Čeština";"49.974914,16.392069";"";"";"";"";"0 min";"";"";"";"Česká republika";"Východočeský";"Iveco"
