"Jméno";"IČ";"DIČ";"Mobilní telefon";"Telefon do práce";"Banka";"Osoba";"Země";"Kraj";"Město";"PSČ";"Ulice";"Číslo účtu";"Var. symbol";"Skupina";"Poznámka"
"GUARANT International spol. s r.o.";"45245401";"";"607 655 268";"";"";"";"Česká republika";"Středočeský";"Praha ";"110 00";"Na Pankráci 1685/17";"";"";"Agentury";""
"Spolek COHIBA MUSICA";"27059685";"";"775 633 230";"";"";"Jan Němec";"Česká republika";"";"Písek";"397 01";"";"";"";"Agentury";""
"M-ARS CB s.r.o.";"60839872";"";"606 865 037";"";"";"Kubovcova Marie";"Česká republika";"";"České Budějovice";"370 01";"";"";"";"Agentury";""
"Sdružení Housova mlýna, z. s.";"65018982";"";"605 378 100";"";"";"Crhová Kateřina";"Česká republika";"Jihočeský";"Tábor";"390 15";"Pod Holečkovými sady 383/1";"";"";"Agentury";""
"Šmíd Pavel";"";"";"608 860 885";"";"";"Šmíd Pavel";"Česká republika";"Jihočeský";"Hosín";"373 41";"Hosín 182";"";"";"Agentury";""
"Divadelní soubor Karla Čapka Třešť, z.s.";"22675167";"";"778 754 592";"";"";"Kateřina Kodysová";"Česká republika";"Východočeský";"Třešť";"589 01";"L. Janáčka 1123/10";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Scarlett Vondrušková";"71406638";"";"775 069 096";"";"";"Scarlett Vondrušková";"Česká republika";"Středočeský";"Polní Chrčice";"280 02";"Polní Chrčice 74";"";"";"Agentury";""
"Římskokatolická farnost - proboštství Jindřichův Hradec";"";"";"731 402 820";"";"";"Furstová Martina";"Česká republika";"Jihočeský";"Jindřichův Hradec";"377 01";"Kostelní 74";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Sonnentor s.r.o.";"46342958";"";"721 444 034";"";"";"Zdeněk Chocholáček";"Česká republika";"";"Čejkovice";"696 15";"Příhon 943";"";"";"Agentury";""
"Obec Dyjákovičky";"00600318";"";"724 183 493";"";"";"Veronika Kostrejová";"Česká republika";"Jihomoravský";"Dyjákovičky";"669 02";"Dyjákovičky 1";"";"";"Městské a obecní úřady";""
"A.R.G.O. historie pro film, s.r.o.";"03262499";"";"605 378 100";"";"";"Crhová Kateřina";"Česká republika";"Středočeský";"Praha ";"110 00";"Vinohradská 1107/45";"";"";"Agentury";""
"Jan Klásek";"";"";"605 987 192";"";"";"";"Česká republika";"";"Frymburk";"382 79";"";"";"";"Agentury";""
"Pohádkové Klánovice o.p.s.";"24200506";"";"603 521 168";"";"";"Lucie Poláková";"Česká republika";"Středočeský";"Praha ";"110 00";"Krovova 218";"";"";"Agentury";""
"Muzeum Podkrkonoší v Trutnově";"75119153";"";"739 576 613";"";"";"Zivrová Jaroslava";"Česká republika";"Severočeský";"Trutnov";"541 01";"Školní 150";"";"";"Agentury";""
"STEZKA KORUNAMI STROMŮ s.r.o.";"28142349";"";"776 663 354";"";"";"Grauer Jiří";"Česká republika";"Jihočeský";"Lipno nad Vltavou ";"382 78";"Lipno nad Vltavou 307";"";"";"Agentury";""
"GALERIE FELIXE JENEWEINA MĚSTA KUTNÉ HORY";"71006206";"";"724 703 008";"";"";"A.Rezler";"Česká republika";"Středočeský";"Kutná Hora";"284 01";"Havlíčkovo náměstí 552/1";"";"";"Agentury";""
"ACO Industries Tábor s.r.o.";"26033976";"";"724 011 771";"";"";"Gabina Prochazkova";"Česká republika";"Jihočeský";"Tábor";"390 15";"Průmyslová 1158";"";"";"Agentury";""
"Divadlo v parku o.p.s.";"2310091";"";"602 374 291";"";"";"Jan Andelt";"Česká republika";"Středočeský";"Praha ";"110 00";"Varšavská 249/30";"";"";"Agentury";""
"Česká podnikatelská pojišťovna, a.s., Vienna Insurance Group";"63998530";"";"Tereza.Erbenova@cpp.cz";"";"";"Tereza Erbenová";"Česká republika";"Středočeský";"Praha ";"110 00";"Pobřežní 665/23";"";"";"Agentury";""
"Smetanova Litomyšl, o.p.s.";"25918206";"";"737 110 916";"";"";"Lenka Moravcová";"Česká republika";"Východočeský";"Litomyšl";"570 01";"Jiráskova 133";"";"";"Agentury";""
"Město Horažďovice";"00255513";"";"";"371 430 557";"";"Jitka Chalupná";"Česká republika";"Jihočeský";"Horažďovice";"341 01";"Mírové náměstí 1";"";"";"Městské a obecní úřady";""
"Statutární město Jihlava";"00286010";"";"";"";"";"";"Česká republika";"Východočeský";"Jihlava";"586 01";"Masarykovo náměstí 1";"";"";"Městské a obecní úřady";""
"Obec Dříteň";"244830";"";"";"387 991 121";"";"Hana Papanová";"Česká republika";"Jihočeský";"Dříteň";"373 51";"Dříteň 152";"";"";"Městské a obecní úřady";""
"LIPENSKO s.r.o.";"28136420";"";"776 663 354";"";"";"Grauer Jiří";"Česká republika";"Jihočeský";"Lipno nad Vltavou ";"382 78";"Lipno nad Vltavou 307";"";"";"Agentury";""
"Zámek Hrádek, s.r.o.";"29089310";"";"727 918 011";"";"";"Michaela Fremundová";"Česká republika";"Jihočeský";"Hrádek u Sušice";"341 42";"Pivovarská 4";"";"";"Agentury";""
"Turistická oblast Třeboňsko, z.s.";"05539188";"";"731 082 743";"";"";"Gabriela Kalvasová";"Česká republika";"Jihočeský";"Třeboň";"379 01";"Palackého nám. 46";"";"";"Agentury";""
"Karlovarský kraj";"70891168";"";"720 052 724";"";"";"Eliška Failová";"Česká republika";"Západočeský";"Karlovy Vary";"360 01";"Závodní 353/88";"";"";"Městské a obecní úřady";""
"Dům dětí a mládeže Praha 10 - Dům UM";"45241945";"";"778 761 726";"";"";"Kateřina Doleželová";"Česká republika";"Středočeský";"Praha ";"110 00";"od strašnickou vinicí 623/23";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Nadační fond Základní školy Vidče";"47863668";"";"602 777 670";"";"";"Zdeněk Chrástecký";"Česká republika";"Severomoravský";"Vidče";"756 53";"Vidče 181";"";"";"Školy";""
"TRISIA, a.s.";"64610152";"";"720 999 089";"";"";"Lucie Olszarová";"Česká republika";"Severomoravský";"Třinec";"739 61";"nám. Svobody 526";"";"";"Agentury";""
"Jakub Křikava";"";"";"721 318 995";"";"";"Křikava Jakub";"Česká republika";"";"Praha ";"110 00";"";"";"";"Herec";""
"Sdružení sv. Ludmily na Tetíně z.s.";"22834192";"";"";"";"";"Leona Kopáčková";"Česká republika";"Středočeský";"Tetín";"266 01";"Na Parkáně 18";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"P. Dr. theol. Tomáš Cyril Havel CFSsS";"";"";"731402878";"";"";"Tomáš Cyril Havel";"Česká republika";"Jihočeský";"Putim";"397 01";"";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Zámek Hrádek s.r.o.";"29089310";"";"727 918 011";"";"";"Michaela Fremundová";"Česká republika";"";"Hrádek u Sušice";"341 42";"";"";"";"Agentury";""
"OBEC BOŘANOVICE";"00240061";"";"732 102 401";"";"";"Řapek Libor";"Česká republika";"Středočeský";"Bořanovice";"250 65";"Ke Kampeličce 67";"";"";"Městské a obecní úřady";""
"Pionýr, z. s. - Pionýrská skupina KAMPANUS";"48223727";"";"775 644 101";"";"";"Novák Petr";"Česká republika";"Jihočeský";"Vodňany";"389 01";"Tylova 842";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Národní muzeum";"00023272";"";"388 385 715";"";"";"Patrasová Hana";"Česká republika";"Středočeský";"Praha ";"110 00";"Václavské náměstí 1700/68";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Obec Hudlice";"00233285";"";"739 296 588";"";"";"Tejnorová Jiřina";"Česká republika";"Středočeský";"Hudlice";"267 03";"Jungmannova 355";"";"";"Městské a obecní úřady";""
"Vít Procházka";"73481874";"";"732 704 560";"";"";"Vít Procházka";"Česká republika";"Jihočeský";"Plavsko";"378 02";"Plavsko 27";"";"";"Agentury";""
"Město Dačice";"00246476";"";"721 481 950";"";"";"Mastná Naděžda";"Česká republika";"Jihočeský";"Dačice";"380 01";"Krajířova 27";"";"";"Městské a obecní úřady";""
"SKUPINA HISTORICKÉHO ŠERMU PÁNI Z KOLÍNA";"70539685";"";"607 502 197";"";"";"Horáček Miroslav";"Česká republika";"Středočeský";"Kolín";"280 02";"Míru 636";"";"";"Agentury";""
"Občanské sdružení BRODIVADLO";"22893121";"";"777 235 578";"";"";"Brožek  Petr";"Česká republika";"Středočeský";"Český Brod";"282 01";"Palackého 237";"";"";"Agentury";""
"Michal Dosek";"";"";"734 808 550";"";"";"Michal Dosek";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"Vráto 4";"";"";"Agentury";""
"Základní škola Zahrádka, Praha 3, U Zásobní zahrady 8";"70845883";"";"222 584 841";"";"";"Slabyhoudová Bára";"Česká republika";"Středočeský";"Praha ";"110 00";"U zásobní zahrady 2445/8";"";"";"Školy";""
"Pavel Řeháček";"47229195";"";"";"";"";"";"Česká republika";"";"České Budějovice";"370 01";"";"";"";"Agentury";""
"WIP Reklama spol. s r.o.";"00511099";"";"608 537 410";"";"";"Volný Martin";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"Školní 2235/3";"";"";"Agentury";""
"Karromato z.s.";"69059977";"";"608 912 734";"";"";"";"Česká republika";"Středočeský";"Praha ";"110 00";"Jaromírova 433/25";"";"";"Agentury";""
"Město Kouřim";"00235482";"";"602 776 412";"";"";"Drahovzal Martin";"Česká republika";"Středočeský";"Kouřim";"281 61";"Mírové náměstí 145";"";"";"Městské a obecní úřady";""
"Základní škola a mateřská škola Přerov nad Labem";"72055758";"";"";"";"";"";"Česká republika";"Středočeský";"Přerov nad Labem";"289 16";"Přerov nad Labem 112";"";"";"Školy";""
"Obec Staňkov";"00666530";"";"";"";"";"";"Česká republika";"Jihočeský";"Staňkov";"344 01";"Staňkov 83";"";"";"Městské a obecní úřady";""
"Botanicus, spol. s r.o.";"45147264";"";"325 551 235";"";"";"Černá Tereza";"Česká republika";"Středočeský";"Ostrá";"289 22";"Ostrá 8";"";"";"Agentury";""
"Obec Přerov nad Labem";"00239682";"";"";"";"";"";"Česká republika";"Středočeský";"Přerov nad Labem";"289 16";"Přerov nad Labem 38";"";"";"Městské a obecní úřady";""
"Jan Samohýl";"";"";"";"";"";"Jan Samohýl";"";"";"";"";"";"";"";"";""
"Suchá Lucie";"";"";"732 156 122";"";"";"Suchá Lucie";"Česká republika";"Středočeský";"Beroun";"266 01";"Na Ptačí skále 540";"";"";"";""
"Agentura KPR s.r.o.";"28994914";"";"606 744 126";"";"";"Straková Pavlína";"Česká republika";"Středočeský";"Praha ";"110 00";"Na hroudě 186/37";"";"";"Agentury";""
"Městské kulturní středisko Vodňany";"00367885";"";"602 302 083";"";"";"Madar Michal ";"Česká republika";"Jihočeský";"Vodňany";"389 01";"Zeyerovy sady 963";"";"";"Agentury";""
"Kulturní středisko Omega, příspěvková organizace";"00101524";"";"608 714 545";"";"";"Kučerová Jarmila";"Česká republika";"Jihomoravský";"Brno";"614 00";"Musilova 1540/2a";"";"";"Agentury";""
"Obec Nečtiny";"00258156";"";"601 375 089";"";"";"Melenová Kateřina";"Česká republika";"Západočeský";"Plzeň";"301 00";"Pražská 19";"";"";"Agentury";""
"Nadační fond Koleč";"27881091";"";"605 714 956";"";"";"Jirků Iva";"Česká republika";"Středočeský";"Koleč";"273 29";"Koleč 103";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Město Vimperk";"00250805";"";"602 236 484";"";"";"Švecová Lenka";"Česká republika";"Jihočeský";"Vimperk";"385 01";"Steinbrenerova 6/2";"";"";"Městské a obecní úřady";""
"Obec Zlukov";"00667315";"";"606 106 711";"";"";"Vichrová H.";"Česká republika";"Jihočeský";"Zlukov";"391 81";"Zlukov 66";"";"";"Městské a obecní úřady";""
"Mateřská škola Slavonice, Brněnská 200";"62540475";"";"732 167 867";"";"";"Milena Novotná";"Česká republika";"Jihočeský";"Slavonice";"378 81";"Brněnská 200";"";"";"Školy";""
"Veranstalterin Rechnungspartnerin";"";"";"430 664 150 53 48";"";"";"Samhaber Thomas";"Rakousko";"";"St. Martin";"3971";"Harmanschlag 38";"";"";"Agentury";""
"Městys Chlum u Třeboně";"00246816";"";"384 797 434";"";"";"Válková Jitka";"Česká republika";"Jihočeský";"Chlum u Třeboně";"378 04";"Náměstí 115";"";"";"Městské a obecní úřady";""
"Junior - dům dětí a mládeže, středisko volného času, Chotěboř, Tyršova 793";"72076658";"";"569 626 638";"";"";"";"Česká republika";"Východočeský";"Chotěboř";"583 01";"Tyršova 793";"";"";"Agentury";""
"Statutární město Plzeň";"00075370";"";"603 215 093";"";"";"Weinfurterová Olga";"Česká republika";"Západočeský";"Plzeň";"301 00";"Vnitřní Město, náměstí Republiky 1/1";"";"";"Městské a obecní úřady";""
"Městské divadlo Varnsdorf, příspěvková organizace";"00078930";"";"775 860 474";"";"";"Zajíčková Zuzana";"Česká republika";"Severočeský";"Varnsdorf";"407 47";"Partyzánů 1442";"";"";"Divadla,Kulturní zařízení";""
"Spolek Kamínky";"22857010";"";"";"";"";"Vacková Irena";"Česká republika";"Jihočeský";"Křemže";"382 03";"Bohouškovice 17";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Národní ústav pro vzdělávání, školské poradenské zařízení a zařízení pro další vzdělávání pedagogických pracovníků";"00022179";"";"";"";"";"";"Česká republika";"Středočeský";"Praha ";"110 00";"Weilova 1271/6";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"MĚSTO TURNOV";"00276227";"";"736 754 993";"";"";"Weissová Daniela";"Česká republika";"Severočeský";"Turnov";"511 01";"Antonína Dvořáka 335";"";"";"Městské a obecní úřady";""
"Kulturní a informační centrum Ivančice";"65268768";"";"602 511 609";"";"";"Stránská Lenka";"Česká republika";"Jihomoravský";"Ivančice";"664 91";"Palackého náměstí 1013/12";"";"";"Divadla,Kulturní zařízení";""
"Nádravský";"";"";"";"";"";"Nádravský";"";"";"";"";"";"";"";"";""
"Vlastivědné muzeum v Olomouci";"00100609";"";"776 751 606";"";"";"Erlecová Lenka";"Česká republika";"Severomoravský";"Olomouc";"779 00";"nám. Republiky 823/5";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"ARSKLUB";"";"";"";"";"";"";"Česká republika";"";"České Budějovice";"370 01";"";"";"";"Agentury";""
"Klásek Štěpán";"";"";"724 704 977";"";"";"Klásek Štěpán";"";"";"";"";"";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"No Kakabus z.s.";"01374231";"";"777 746 993";"";"";"Kutílková Jana";"Česká republika";"Středočeský";"Praha ";"110 00";"Věšínova 508/7";"";"";"Agentury";""
"Ing. Tomáš Karlík";"74688782";"";"777196823";"";"";"Tomáš Karlík";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"Česká 7";"";"";"Agentury";""
"TV Nova s.r.o.";"45800456";"";"";"";"";"";"Česká republika";"";"Praha ";"110 00";"";"";"";"Agentury";""
"Zš Oskara Nedbala";"";"";"";"";"";"";"";"";"České Budějovice";"370 01";"";"";"";"Školy";""
"Veselské kulturní centrum, z.ú.";"29297524";"";"602 618 630";"";"";"Daniela Evjaková";"Česká republika";"";"Veselí nad Moravou";"698 01";"";"";"";"Agentury";""
"Marie Kubovcová";"60839872";"";"606 865 037";"";"";"Marie Kubovcová";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"B. Smetany 1489/1";"";"";"Agentury";""
"Praha 14 kulturní";"75122987";"";"724 099 889";"";"";"Simona Vlašimská";"Česká republika";"Středočeský";"Praha ";"110 00";"Šimanovská 47";"";"";"Divadla,Kulturní zařízení";""
"Cábová Ilona";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Město Vyšší Brod";"00246191";"";"606 435 747";"";"";"";"Česká republika";"Jihočeský";"Vyšší Brod";"382 73";"Náměstí 104";"";"";"";""
"CPI Hotels, a.s.";"47116757";"";"725 758 670";"";"";"Rauchová Zuzana";"Česká republika";"Středočeský";"Praha ";"110 00";"Bečvářova 2081/14";"";"";"Agentury";""
""AAAAA"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Mateřská škola Hrdějovice";"62537644";"";"";"";"";"";"Česká republika";"";"Hrdějovice";"373 61";"";"";"";"Školy";""
"Základní škola Škvorec";"70996768";"";"725 521 692";"";"";"Kosobudová";"Česká republika";"Středočeský";"Škvorec";"250 83";"Tyršova 130";"";"";"Školy";""
"Centrum drogové prevence";"67985718";"";"777 325 705";"";"";"Jitka Háková";"Česká republika";"Středočeský";"Hostivice";"253 80 ";"Komenského 141";"";"";"Školy";""
"Městská část Praha 3";"00063517";"";"777 633 158";"";"";"";"Česká republika";"Středočeský";"Praha ";"110 00";"Žižkov, Havlíčkovo náměstí 700/9";"";"";"Městské a obecní úřady";""
"Mateřská škola Juárezova";"70942676";"";"233 320 306";"";"";"Švarcová Alena";"Česká republika";"Středočeský";"Praha ";"110 00";"Bubeneč, Českomalínská 1037/24";"";"";"Školy";""
"Modrý klíč - základní škola speciální a mateřská škola speciální, o.p.s.";"25765710";"";"XX";"";"";"";"Česká republika";"Středočeský";"Praha ";"110 00";"Kamýk, Smolkova 567/2";"";"";"Školy";""
"Spolek 2/4";"26539705";"";"606 148 544";"";"";"Zeman Kamil";"Česká republika";"Jihočeský";"Velešín";"382 32";"Sídliště 379";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Phantasy Art s.r.o.";"28944852";"";"724743 022";"";"";"Janoušek Aleš";"Česká republika";"Západočeský";"Černošice";"252 28";"Lidická 1926";"";"";"Agentury";""
"Waldorfská základní škola a mateřská škola Wlaštovka Karlovy Vary o.p.s.";"29125812";"";"773 216621";"777 042 836";"";"Dubcová Valerie";"Česká republika";"Západočeský";"Karlovy Vary";"360 01";"Doubí, Modenská 150/15";"";"";"Školy";""
"AISIS, z.ú.";"67798853";"";"604 146 163";"";"";"Křístková Markéta";"Česká republika";"Severočeský";"Kladno";"272 52";"Floriánské náměstí 103";"";"";"Agentury";""
"Anna Sedláčková";"68852606";"";"602 224 556";"";"";"Sedláčková Anna";"Česká republika";"Středočeský";"Říčany";"251 01";"Bachmačská 942/1";"";"";"Agentury";""
"Křesťanská a demokratická unie - Československá strana lidová";"00442704";"";"777 628 364";"";"";"";"Česká republika";"Středočeský";"Praha ";"110 00";"Nové Město, Karlovo náměstí 317/5";"";"";"Agentury";""
"Jaromír Ledajaks";"";"";"";"";"";"";"Česká republika";"";"Poněšice";"373 41";"";"";"";"";""
"Obec Svatý Jan nad Malší";"00245488";"";"721 131 406";"";"";"Švecová Iva";"Česká republika";"";"Svatý Jan nad Malší";"373 23";"";"";"";"Městské a obecní úřady";""
"Karolína Sýkorová";"";"";"605 372 377";"";"";"Karolína Sýkorová";"Česká republika";"Středočeský";"Praha ";"110 00";"Herálecká III. 959/6";"";"";"Soukromé osoby";""
"Kulturní centrum Vltavská";"";"";"608 467 772";"";"";"";"Česká republika";"";"Praha ";"110 00";"";"";"";"Agentury";""
"KH Travel s.r.o.";"28365836";"";"724 878 977";"";"";"Veselý Václav";"Česká republika";"Středočeský";"Kutná Hora";"284 01";"Štefánikova 92/46";"";"";"Agentury";""
"Teologická fakulta";"60076658";"";"604 241 226";"";"";"Samohýl Jan";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"Kněžská 8";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Římskokatolická farnost Hosín";"";"";"777 129 177";"";"";"Říčánek Jan";"Česká republika";"Jihočeský";"Hosín";"373 41";"Hosín 17";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Farnost Chlum u Třeboně";"";"";"";"";"";"Válková Jitka";"Česká republika";"";"Chlum u Třeboně";"378 04";"";"";"";"";""
"Jihočeská Silva Nortica";"70659061";"";"606 633 822";"";"";"Samhaber Thomas";"Česká republika";"Jihočeský";"Jindřichův Hradec";"377 01";"Janderova 147";"";"";"Agentury";""
"Kulturní dům města Soběslavi";"69092150";"";"774 884 745";"";"";"Jaroslava Palasová";"Česká republika";"Jihočeský";"Soběslav";"392 01";"Jirsíkova 34";"";"";"Divadla,Kulturní zařízení";""
"Město Kolín";"00235440";"";"702 024 307";"";"";"Jiráčková Veronika";"Česká republika";"Středočeský";"Kolín";"280 02";"Karlovo náměstí 78";"";"";"Městské a obecní úřady";""
"STAROSTOVÉ A NEZÁVISLÍ";"26673908";"";"";"";"";"";"Česká republika";"Středočeský";"Praha ";"110 00";"Malostranské náměstí 266/5";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Petra Frojdová";"";"";"";"";"";"";"Česká republika";"";"České Budějovice";"370 01";"";"";"";"Agentury";""
"spolek Amanitas";"22717951";"";"";"";"";"";"Česká republika";"Středočeský";"Praha ";"110 00";"Vokovice, Alžírská 639/8";"";"";"Agentury";""
"Amanitas";"22717951";"";"";"";"";"";"Česká republika";"";"Praha ";"110 00";"";"";"";"Agentury";""
"Richard Nowak";"11356898";"";"777 938 515";"";"";"Richard Nowak";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"B. Smetany 2832/39";"";"";"Agentury";""
"Základní škola a Mateřská škola Cehnice, okres Strakonice";"70994285";"";"383 389 128";"";"";"Kudrličková M.";"Česká republika";"Jihočeský";"Cehnice";"387 52";"Cehnice 105";"";"";"Školy";""
"Petr Nedvěd";"";"";"602 492 537";"";"";"Petr Nedvěd";"Česká republika";"Jihočeský";"Hojná Voda";"373 35";"";"";"";"Soukromé osoby";""
"SDH Hosín";"";"";"725 723 560";"";"";"Urban Jan";"Česká republika";"Jihočeský";"Hosín";"373 41";"";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"Förderkreis Böhmischers Dorf";"";"";"234 668 511";"";"";"Christina Frankenberg";"Německo";"";"Potsdam";"";"Karl-Liebknecht-Strasse 135";"";"";"Agentury";""
"Obec Tursko";"00241768";"";"315 786 023";"";"";"Naďa Pokrupová";"Česká republika";"Severočeský";"Tursko";"252 65";"Čestmírovo náměstí 59";"";"";"Městské a obecní úřady";""
"Klub dětí a mládeže Divišáček, z.s.";"61664791";"";"603 859 117";"";"";"Lungová Irena";"Česká republika";"Středočeský";"Divišov";"257 26";"Na Sadech 260";"";"";"Neziskové organizace (o.s., Mateřská centra, atd.)";""
"PRO AKTIV Marienbad, s.r.o.";"26341565";"";"723 857 781";"";"";"Markéta Monsportová";"Česká republika";"Západočeský";"Mariánské Lázně";"353 01";"Nehrova 27/3";"";"";"Agentury";""
"Hamarčák Luboš";"";"";"605 939 387";"";"";"Hamarčák Luboš";"Česká republika";"Středočeský";"Praha ";"110 00";"Sečská 1845/3";"";"";"Agentury";""
"Adaria Produkce";"";"";"604 243 157";"";"";"Václav Vopravil";"Česká republika";"Severočeský";"Ústí nad Labem";"400 11";"Spartakiádní 257/2";"";"";"Agentury";""
"Nechunaev Vyacheslav";"";"";"721 222 336";"";"";"Nechunaev  Vyacheslav";"";"";"";"";"";"";"";"Herec";""
""NEZNÁMÝ"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Církevní mateřská škola "U sv. Josefa"";"49020790";"";"";"";"";"";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"Na Sadech 2035/19";"";"";"Školy";""
"Mateřská škola, Neplachova 3, České Budějovice";"70877602";"";"";"";"";"";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"Neplachova 812/3";"";"";"Školy";""
"Mateřská škola, Základní škola a Praktická škola, Č.Budějovice, Štítného 3";"";"";"";"";"";"";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"Štítného 3";"";"";"Školy";""
"Znoj Petr";"22874623";"";"+420 776 419 579";"";"";"Znoj Petr";"";"";"";"";"";"";"";"";""
"Základní škola Dr. Miroslava Tyrše, Hrdějovice";"62537831";"";"";"";"";"";"Česká republika";"Jihočeský";"Hrdějovice";"373 61";"Školní 108";"";"";"Školy";""
"AUVIEX, s.r.o.";"47125781";"";"604 660 385";"";"";"Jana Havlová";"Česká republika";"";"Praha ";"110 00";"";"";"";"Agentury";""
"Divadlo Kvelb";"03244431";"";"603 380 381";"";"";"Pavel Lukas";"Česká republika";"Jihočeský";"České Budějovice";"370 01";"Plzeňská 595/43";"";"";"Agentury";""
"Jaromír Schel";"";"";"";"";"";"Schel Jaromír";"Česká republika";"";"České Budějovice";"370 01";"";"";"";"Agentury";""
"Mateřská škola Aš";"";"";"723 968 026";"";"";"TALPOVÁ VLADIMÍRA";"Česká republika";"Západočeský";"Aš";"352 01";"Nohova 2201";"";"";"Školy";""
"SK Slávie";"";"";"777 759 466";"";"";"Jaroslava Marešová";"Česká republika";"";"";"";"";"";"";"Agentury";""
"Fox Maskmaking Bureau s.r.o.";"7800495";"";"????";"";"";"Linda Mikulášková";"Česká republika";"Středočeský";"Praha ";"110 00";"Veletržní 404/6";"";"";"Agentury";""
"Společnost Amatérské divadlo a svět, z. s.";"62934350";"";"604 569 781";"";"";"Alena Crhová";"Česká republika";"";"Praha ";"110 00";"";"";"";"Agentury";""
"Město Chrastava";"00262871";"";"602 100 563";"";"";"Jana Eichlerová";"Česká republika";"Severočeský";"Chrastava";"463031";"náměstí 1. máje 1";"";"";"Městské a obecní úřady";""
"APLA Jižní Čechy, z. ú.";"28552288";"";"731 166 295";"";"";"Lucie Hnojnová";"Česká republika";"Jihočeský";"Tábor";"390 15";"Farského 887";"";"";"Agentury";""
"Společnost přátel Rudolfova z.s.";"26516497";"";"732 962 175";"";"";"Kuboušková Petra";"Česká republika";"Jihočeský";"Rudolfov";"373 71";"Lipová 278/8";"";"";"Agentury";""
"Obec Jivno";"00581411";"";"607 786 478";"";"";"Votrubová Petra";"Česká republika";"Jihočeský";"Jivno";"373 71";"Jivno 34";"";"";"";""
"Mateřská škola Velíšská Vlašim, příspěvková organizace";"70944784";"";"724 342 538";"";"";"Alena Matějovská";"Česká republika";"Středočeský";"Vlašim";"258 01";"";"";"";"Školy";""
"Jihlavský havířský průvod, z. s.";"67024301";"";"605 766 906";"";"";"Milan Kolář";"Česká republika";"Východočeský";"Jihlava";"586 01";"Komenského 1361/30";"";"";"Agentury";""
"Prostor plus o.p.s.";"26594633";"";"601 322 322";"";"";"Mgr. Barbora Pošíková";"Česká republika";"";"Kolín";"280 02";"";"";"";"Agentury";""
"Svazek malých obcí regionu Blata";"69559325";"";"732 918 033";"";"";"Stulík";"Česká republika";"Jihočeský";"Mazelov";"373 63";"Mazelov 40";"";"";"Agentury";""
"7 Agency České Budějovice s.r.o.";"06133606";"";"724 504 320";"";"";"Šárka Gramanová";"Česká republika";"Jihočeský";"Adamov";"373 71";"Šípková 235";"";"";"Agentury";""
"Obec Krakovec";"00639893";"";"724 185 264";"";"";"Jiří Sobek";"Česká republika";"Středočeský";"Krakovec";"270 35";"Krakovec 46";"";"";"Městské a obecní úřady";""
"Thonmi z.s.";"22714782";"";"776 244 848";"";"";"Jitka Crosnier Leconte";"Česká republika";"Severočeský";"Mikulášovice";"407 80";"Velký Šenov 41";"";"";"Agentury";""
"SHŠ Berit o.s.";"22676287";"";"723 788 682";"";"";"Švehla Jan";"Česká republika";"";"Vimperk";"385 01";"";"";"";"Agentury";""
"Městys Křemže";"245950";"";"606 035 521";"";"";"Jitka Jakešová";"Česká republika";"";"Křemže";"382 03";"";"";"";"Městské a obecní úřady";""
"Petr Vymětal";"";"";"606 605 826";"";"";"";"Česká republika";"";"Bechyně";"391 65";"";"";"";"Agentury";""
"Obec Lednice";"00283339";"";"733 603 970";"";"";"Lucie Vrbíková";"Česká republika";"Jihomoravský";"Lednice";"691 44";"Zámecké náměstí 70";"";"";"Městské a obecní úřady";""
"Šarka Frantova";"06748635";"";"723 514 867";"";"";"Šárka Frantová";"Česká republika";"Jihočeský";"Prachatice";"383 01";"Oseky 43";"";"";"Agentury";""
